System,Family,Etot / eV,Esur / eV,Emol / eV,Eads / eV
Ag-mol16,POLYURETHANES,-118.05121928,-376.56976997,-117.29813031,-0.753088969999993
Ag-mol17,POLYURETHANES,-157.42335498,-376.56976997,-156.61705379,-0.806301189999999
Ag-mol18,POLYURETHANES,-157.34867861,-376.56976997,-156.57552837,-0.773150240000007
Ag-mol19,POLYURETHANES,-196.70168272,-376.56976997,-195.85739787,-0.844284850000008
Ag-mol41,POLYURETHANES,-244.58779939,-376.56976997,-243.47832296,-1.10947642999997
Au-mol16,POLYURETHANES,-720.85766062,-603.05652872,-117.29813031,-0.503001590000054
Au-mol17,POLYURETHANES,-760.07426811,-603.05652872,-156.61705379,-0.400685600000088
Au-mol18,POLYURETHANES,-759.99216945,-603.05652872,-156.57552837,-0.360112360000016
Au-mol19,POLYURETHANES,-799.30033182,-603.05652872,-195.85739787,-0.386405230000037
Au-mol41,POLYURETHANES,-847.3721487,-603.05652872,-243.47832296,-0.837297020000051
Pt-PE,PLASTICS,-207.79174933,-1131.02244804,-206.61948565,-1.17226367999999
Pt-Ppit,PLASTICS,-257.18159251,-1131.02244804,-256.25230934,-0.929283169999962
Pt-Ppst,PLASTICS,-257.47509783,-1131.02244804,-256.61073717,-0.864360659999988
Pt-PS,PLASTICS,-214.5503008,-1131.02244804,-211.59859686,-2.95170394000002
Pt-PET,PLASTICS,-337.67323951,-1131.02244804,-334.81520255,-2.85803695999999
Ru-PE,PLASTICS,-206.80057985,-1692.27387464,-206.61948565,-0.18109419999999
Ru-Ppit,PLASTICS,-256.2277247,-1692.27387464,-256.25230934,0.024584640000001
Ru-Ppst,PLASTICS,-256.53262309,-1692.27387464,-256.61073717,0.078114079999978
Ru-PS,PLASTICS,-214.70236036,-1692.27387464,-211.59859686,-3.10376350000001
Ru-PET,PLASTICS,-339.59798539,-1692.27387464,-334.81520255,-4.78278284000004
Ni-mol1,BIOMASS,-269.48505176,-429.51813188,-266.6203315,-2.86472025999996
Ni-mol2,BIOMASS,-268.97141166,-429.51813188,-266.58212823,-2.38928342999998
Ni-mol3,BIOMASS,-156.38838357,-429.51813188,-153.6018589,-2.78652467000001
Ni-mol4,BIOMASS,-170.5921759,-429.51813188,-168.6743372,-1.9178387
Ni-mol5,BIOMASS,-163.79779004,-429.51813188,-162.19930716,-1.59848288000001
Ru-mol1,BIOMASS,-270.26880955,-725.4400795,-266.6203315,-3.64847804999999
Ru-mol2,BIOMASS,-269.73437018,-725.4400795,-266.58212823,-3.15224194999996
Ru-mol3,BIOMASS,-157.01538868,-725.4400795,-153.6018589,-3.41352978
Ru-mol4,BIOMASS,-171.17300478,-725.4400795,-168.6743372,-2.49866758000002
Ru-mol5,BIOMASS,-164.19177754,-725.4400795,-162.19930716,-1.99247038000001